,close,open,itau_pn,pib_per_capta,vale,sp500,nikkei,selic
2001-01-02,15425.0,15242.0,2.9638640880584717,7467.03,3.5999999046325684,1333.3399658203125,13691.490234375,15.75
2001-01-03,16599.0,15425.0,3.079935073852539,7467.03,3.8333330154418945,1333.3399658203125,13691.490234375,15.75
2001-01-04,16675.0,16597.0,3.1294429302215576,7467.03,3.7083330154418945,1333.3399658203125,13691.490234375,15.75
2001-01-05,16410.0,16679.0,3.1458349227905273,7467.03,3.666666030883789,1298.3499755859375,13867.6103515625,15.75
2001-01-08,16562.0,16398.0,3.0797688961029053,7467.03,3.625,1300.800048828125,13610.509765625,15.75
2001-01-09,16976.0,16566.0,3.0930159091949463,7467.03,3.666666030883789,1300.800048828125,13610.509765625,15.75
2001-01-10,16919.0,16964.0,3.121164083480835,7467.03,3.665832996368408,1313.27001953125,13432.650390625,15.75
2001-01-11,17024.0,16908.0,3.1294429302215576,7467.03,3.604166030883789,1326.8199462890625,13201.0703125,15.75
2001-01-12,16850.0,17034.0,3.0801000595092773,7467.03,3.5833330154418945,1318.550048828125,13347.740234375,15.75
2001-01-15,16963.0,16858.0,3.112884998321533,7467.03,3.625,1326.6500244140625,13584.4501953125,15.75
2001-01-16,16721.0,16973.0,3.1294429302215576,7467.03,3.5833330154418945,1326.6500244140625,13584.4501953125,15.75
2001-01-17,17191.0,16748.0,3.154279947280884,7467.03,3.666666030883789,1329.469970703125,13667.6298828125,15.75
2001-01-18,17521.0,17204.0,3.2619059085845947,7467.03,3.875,1347.969970703125,13873.919921875,15.25
2001-01-19,17530.0,17525.0,3.3281381130218506,7467.03,3.875,1342.5400390625,13989.1201171875,15.25
2001-01-22,17392.0,17548.0,3.2122321128845215,7467.03,3.875,1342.9000244140625,14032.419921875,15.25
2001-01-23,17832.0,17381.0,3.182594060897827,7467.03,3.9749999046325684,1360.4000244140625,13984.66015625,15.25
2001-01-24,17772.0,17849.0,3.094506025314331,7467.03,4.082499980926514,1364.300048828125,13893.580078125,15.25
2001-01-26,17889.0,17776.0,3.17911696434021,7467.03,4.087500095367432,1354.949951171875,13696.0595703125,15.25
2001-01-29,17883.0,17906.0,3.1294429302215576,7467.03,4.2083330154418945,1364.1700439453125,13845.2802734375,15.25
2001-01-30,17723.0,17882.0,3.0797688961029053,7467.03,4.166666030883789,1373.72998046875,13826.650390625,15.25
2001-01-31,17673.0,17725.0,3.088047981262207,7467.03,4.25,1366.010009765625,13843.5498046875,15.25
2001-02-01,17039.0,17670.0,3.0300960540771484,7467.03,4.166666030883789,1373.469970703125,13779.5498046875,15.25
2001-02-02,16915.0,17027.0,3.0466530323028564,7467.03,4.125,1349.469970703125,13703.6298828125,15.25
2001-02-05,16731.0,16914.0,2.9721429347991943,7467.03,4.066666126251221,1354.31005859375,13385.51953125,15.25
2001-02-06,17007.0,16734.0,3.0052590370178223,7467.03,4.066666126251221,1352.260009765625,13269.849609375,15.25
2001-02-07,16812.0,17003.0,2.947305917739868,7467.03,4.0,1340.8900146484375,13366.009765625,15.25
2001-02-08,17243.0,16814.0,3.02976393699646,7467.03,3.9708330631256104,1332.530029296875,13138.23046875,15.25
2001-02-09,17138.0,17257.0,2.980422019958496,7467.03,4.0,1314.760009765625,13422.830078125,15.25
2001-02-12,16917.0,17163.0,2.988701105117798,7467.03,4.058332920074463,1318.800048828125,13274.7001953125,15.25
2001-02-13,17096.0,16922.0,3.0300960540771484,7467.03,4.0833330154418945,1318.800048828125,13274.7001953125,15.25
2001-02-14,17120.0,17078.0,3.0714900493621826,7467.03,4.0833330154418945,1315.9200439453125,13284.0595703125,15.25
2001-02-15,16937.0,17121.0,3.0714900493621826,7467.03,4.042500019073486,1326.6099853515625,13327.3896484375,15.25
2001-02-16,16259.0,16934.0,2.915018081665039,7467.03,4.041666030883789,1301.530029296875,13175.490234375,15.25
2001-02-19,16061.0,16263.0,2.897631883621216,7467.03,3.916666030883789,1278.93994140625,13248.3603515625,15.25
2001-02-20,15911.0,16066.0,2.847959041595459,7467.03,3.9749999046325684,1278.93994140625,13248.3603515625,15.25
2001-02-21,15594.0,15909.0,2.815174102783203,7467.03,3.924999952316284,1255.27001953125,13100.080078125,15.25
2001-02-22,15910.0,15604.0,2.889353036880493,7467.03,4.041666030883789,1252.8199462890625,13073.3603515625,15.25
2001-02-23,16158.0,15920.0,2.947472095489502,7467.03,4.199999809265137,1245.8599853515625,13246.0,15.25
2001-02-28,15891.0,16158.0,2.823122024536133,7467.03,4.0833330154418945,1239.93994140625,12883.5400390625,15.25
